2023-07-07 13:03:43.055 [info] Log level: Info
2023-07-07 13:03:43.055 [info] Validating found git in: "git"
2023-07-07 13:03:43.055 [info] Using git "2.41.0" from "git"
2023-07-07 13:03:43.055 [info] > git rev-parse --show-toplevel [371ms]
2023-07-07 13:03:43.055 [info] > git rev-parse --show-toplevel [2ms]
2023-07-07 13:03:43.055 [info] > git rev-parse --show-toplevel [7ms]
2023-07-07 13:03:43.055 [info] > git rev-parse --show-toplevel [2ms]
2023-07-07 13:04:21.533 [info] > git rev-parse --show-toplevel [7ms]
2023-07-07 13:08:47.914 [info] > git rev-parse --show-toplevel [1ms]
2023-07-07 13:08:50.115 [info] > git rev-parse --show-toplevel [1ms]
